brand,model,type,strings,frets,price,mensuration,body,colour,descr,img
Ibanez,GRG270B BLACK NIGHT,Stratocaster,6,22,21.454,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/264.html,C:/Users/user/ct/da/lab1-parser/imgs/264.jpg
Yamaha,PACIFICA 012 BL,Stratocaster,6,22,27.990,25.5,ольха,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/265.html,C:/Users/user/ct/da/lab1-parser/imgs/265.jpg
Epiphone,Les Paul Special VE Heritage Vintage Cherryburst,Les Paul,6,22,44.000,25.5,тополь,cherry sunburst  вишневый санберст,C:/Users/user/ct/da/lab1-parser/descrs/266.html,C:/Users/user/ct/da/lab1-parser/imgs/266.jpg
Jackson,"JS1X RR, Minion, AH FB-SBK",Stratocaster,6,24,32.000,22.5,тополь,черный,C:/Users/user/ct/da/lab1-parser/descrs/267.html,C:/Users/user/ct/da/lab1-parser/imgs/267.jpg
Fender,PLAYER STRAT PF 3TS,Stratocaster,6,22,127.000,25.5,ольха,черный,C:/Users/user/ct/da/lab1-parser/descrs/268.html,C:/Users/user/ct/da/lab1-parser/imgs/268.jpg
Gibson,2019 Les Paul Studio Wine Red,Les Paul studio,6,22,325.000,24.7,красное дерево,чёрный,C:/Users/user/ct/da/lab1-parser/descrs/269.html,C:/Users/user/ct/da/lab1-parser/imgs/269.jpg
Fender,Squier Affinity Telecaster MN 2-Color Sunburst,Telecaster,6,22,37.000,25.5,ольха,красный race red,C:/Users/user/ct/da/lab1-parser/descrs/270.html,C:/Users/user/ct/da/lab1-parser/imgs/270.jpg
Yamaha,Pacifica-112J Black,Stratocaster,6,22,34.990,25.472,ольха,кремовый натуральный,C:/Users/user/ct/da/lab1-parser/descrs/271.html,C:/Users/user/ct/da/lab1-parser/imgs/271.jpg
Epiphone,Les Paul Special VE Ebony Vintage,Les Paul,6,22,44.000,25.5,тополь,cherry sunburst  вишневый санберст,C:/Users/user/ct/da/lab1-parser/descrs/272.html,C:/Users/user/ct/da/lab1-parser/imgs/272.jpg
Fender,Squier Bullet Strat Tremolo HSS RW Black,Stratocaster,6,21,16.100,25.5,липа,белый,C:/Users/user/ct/da/lab1-parser/descrs/273.html,C:/Users/user/ct/da/lab1-parser/imgs/273.jpg
